Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,16/03/02,Raith Rvs,Inverness C,0.0,0.0,D,0.0,0.0,D,1590.0,"Fyfe, I. M.",7.0,10.0,1.0,2.0,0.0,0.0,5.0,6.0,11.0,13.0,0.0,3.0,1.0,1.0,1.0,0.0,35.0,10.0,2.25,3.2,2.7,2.2,3.1,2.5,2.25,3.5,2.5,2.375,3.3,2.5,2.25,3.6,2.5,2.1,3.3,2.87
SC1,09/03/02,St Mirren,Airdrie,2.0,1.0,H,1.0,0.0,H,3049.0,"Rowbotham, J",13.0,7.0,4.0,4.0,3.0,0.0,6.0,10.0,12.0,17.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,2.55,3.45,2.25,2.3,3.1,2.3,2.37,3.5,2.37,2.5,3.5,2.25,2.5,3.6,2.25,2.6,3.4,2.25
SC1,01/12/01,Falkirk,Arbroath,3.0,2.0,H,1.0,0.0,H,2047.0,A. C. Gemmill,9.0,9.0,5.0,3.0,1.0,0.0,4.0,6.0,16.0,21.0,0.0,4.0,1.0,4.0,0.0,1.0,10.0,65.0,1.95,3.4,3.1,2.0,3.0,2.9,,,,1.91,3.4,3.2,2.0,3.6,2.88,2.0,3.4,3.0
SC1,02/02/02,St Mirren,Arbroath,2.0,3.0,A,0.0,2.0,A,2528.0,"Martindale, E.",8.0,12.0,4.0,5.0,0.0,0.0,4.0,8.0,7.0,15.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,1.7,3.6,3.8,1.7,3.2,3.7,1.73,3.5,3.75,1.7,3.5,3.8,1.727,3.75,3.6,1.72,3.6,3.75
SC1,18/09/01,Falkirk,Partick,1.0,1.0,D,0.0,0.0,D,2633.0,J. R. Underhill,11.0,7.0,6.0,3.0,0.0,0.0,3.0,3.0,11.0,21.0,2.0,5.0,2.0,4.0,0.0,0.0,20.0,40.0,,,,2.35,3.0,2.35,2.37,3.5,2.37,2.5,3.3,2.3,2.75,3.5,2.1,2.5,3.4,2.3
SC1,15/12/01,Partick,St Mirren,1.0,0.0,H,0.0,0.0,D,4750.0,K. E. Toner,7.0,7.0,4.0,4.0,0.0,0.0,3.0,7.0,20.0,10.0,1.0,0.0,3.0,1.0,0.0,0.0,30.0,10.0,1.9,3.3,3.5,2.0,3.0,2.9,,,,1.91,3.4,3.2,1.91,3.75,3.0,1.9,3.4,3.25
SC1,13/04/02,Arbroath,Ross County,1.0,1.0,D,0.0,1.0,A,826.0,"McGarry, B. J.",10.0,5.0,6.0,3.0,1.0,0.0,7.0,8.0,8.0,10.0,0.0,3.0,1.0,2.0,0.0,0.0,10.0,20.0,2.25,3.5,2.5,,,,2.37,3.5,2.37,2.25,3.4,2.5,2.375,3.25,2.5,2.25,3.5,2.5
SC1,13/04/02,Inverness C,Clyde,1.0,1.0,D,0.0,0.0,D,1525.0,"Melville, C. J.",10.0,8.0,4.0,4.0,1.0,1.0,7.0,6.0,4.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,2.0,3.5,2.9,,,,2.0,3.4,3.0,2.0,3.4,2.9,2.2,3.25,2.75,1.9,3.4,3.25
SC1,25/08/01,St Mirren,Inverness C,1.0,1.0,D,0.0,0.0,D,3444.0,J. R. Underhill,9.0,7.0,5.0,3.0,0.0,0.0,3.0,6.0,6.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,,,,1.55,3.5,4.2,1.57,3.5,5.0,,,,1.62,3.75,4.0,1.61,3.75,4.2
SC1,30/03/02,St Mirren,Raith Rvs,1.0,0.0,H,1.0,0.0,H,4014.0,"Dougal, S.",6.0,14.0,3.0,8.0,0.0,2.0,7.0,8.0,14.0,14.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,25.0,1.9,3.5,3.15,2.0,3.1,2.8,2.0,3.4,3.0,2.0,3.4,2.9,2.0,3.4,3.0,1.9,3.4,3.25
